Census Tract - 2010 Census,US Postal State Code,County - 2010 Census,2010 Census Tract - Percent Minority,Tract Income Ratio,Num Low Income Mortgages 2012,Num Low Income Mortgages 2013,Num Low Income Mortgages 2014,Num Low Income Mortgages 2015,Num Low Income Mortgages 2016,Num Low Income Mortgages 2017,Num Low Income Mortgages 2018,Num Low Income Mortgages 2019
4211,6,19,58.1104605159044,138.368447214469,109,119.0,59.0,78.0,69.0,67.0,67.0,77.0
4212,6,19,63.4919160007434,91.0297097847283,132,122.0,82.0,79.0,108.0,114.0,88.0,85.0
4213,6,19,50.2463054187192,128.587542538141,40,48.0,29.0,27.0,39.0,42.0,36.0,23.0
4214,6,19,33.7083165930092,173.15030780407602,110,101.0,52.0,66.0,69.0,83.0,41.0,55.0
4215,6,19,59.9776536312849,161.153596145758,85,84.0,48.0,66.0,70.0,64.0,54.0,47.0
4216,6,19,59.2620768352986,136.546476503652,52,56.0,53.0,68.0,70.0,92.0,57.0,51.0
4300,6,67,90.3590495132419,57.047176116742804,77,83.0,79.0,112.0,118.0,95.0,81.0,94.0
4301,6,19,21.5157020503504,270.643903185103,55,72.0,21.0,41.0,32.0,23.0,25.0,19.0
4302,6,19,27.1864686468647,198.35200550606,108,85.0,60.0,62.0,77.0,59.0,47.0,61.0
4303,6,19,23.8587217683806,150.18927082935,72,68.0,50.0,58.0,57.0,53.0,36.0,37.0
4307,4,19,8.79897238278741,83.035014030012,125,103.0,61.0,61.0,77.0,78.0,91.0,79.0
4310,4,19,69.9136276391555,85.40007320006269,34,25.0,24.0,15.0,20.0,23.0,12.0,18.0
4311,4,19,73.8223576283103,114.35592659079401,50,58.0,33.0,31.0,37.0,35.0,31.0,55.0
4312,4,19,76.3620386643234,84.6733011485438,39,51.0,27.0,37.0,16.0,52.0,34.0,33.0
4313,4,19,44.9629934210526,72.4593478222981,22,20.0,31.0,14.0,16.0,18.0,36.0,26.0
4316,4,19,41.8449569324812,88.5825330707426,14,29.0,11.0,10.0,14.0,16.0,12.0,17.0
4317,4,19,6.58032901645082,81.06558377050041,68,72.0,50.0,47.0,62.0,69.0,59.0,81.0
4320,4,19,77.3133375877473,56.30827683566591,7,3.0,1.0,4.0,5.0,4.0,3.0,4.0
4321,4,19,81.5323294951284,98.1438555518762,57,59.0,36.0,32.0,35.0,26.0,31.0,52.0
4322,4,19,79.4104308390023,85.6911305923976,68,67.0,45.0,41.0,45.0,47.0,49.0,59.0
4323,4,19,47.8921709205621,151.857015877442,76,65.0,26.0,34.0,32.0,41.0,26.0,51.0
4324,4,19,5.50221565731167,103.070916917929,112,96.0,56.0,69.0,69.0,66.0,69.0,73.0
4325,4,19,7.91195716835217,119.478188124161,60,53.0,18.0,26.0,26.0,31.0,33.0,43.0
4326,4,19,49.9389126450825,127.15025184307301,77,60.0,29.0,37.0,48.0,42.0,56.0,45.0
4327,4,19,36.4070612668744,129.820311274553,94,97.0,42.0,50.0,72.0,59.0,74.0,63.0
4328,4,19,2.61764705882353,106.588005646862,125,119.0,59.0,80.0,92.0,93.0,90.0,72.0
4329,4,19,41.9480652776352,154.20290360248902,227,193.0,103.0,95.0,121.0,121.0,125.0,167.0
4330,4,19,4.7787610619469,108.24720706903499,40,61.0,30.0,32.0,40.0,36.0,38.0,29.0
4331,4,19,11.7647058823529,88.6714188612162,120,123.0,64.0,100.0,82.0,107.0,82.0,97.0
4332,4,19,5.11489992587102,96.5020827160709,54,40.0,25.0,32.0,34.0,27.0,36.0,23.0
4333,4,19,74.9244712990937,96.94651166843859,77,58.0,22.0,29.0,33.0,45.0,29.0,40.0
4334,4,19,72.2996292982232,85.4105303518832,133,90.0,75.0,59.0,94.0,92.0,101.0,151.0
4401,6,67,78.1416787967006,48.5880583713936,35,48.0,18.0,38.0,55.0,51.0,69.0,46.0
4402,6,67,86.5239887111947,30.351175225576497,19,32.0,24.0,22.0,37.0,56.0,56.0,57.0
4404,4,19,13.2429935324915,96.4707112606097,57,45.0,30.0,35.0,36.0,49.0,51.0,51.0
